User25287;Restaurant31;0.4635
User45110;Restaurant50;5.4116
User53493;Restaurant19;1.1573
User16630;Restaurant10;-1.8879
User48335;Restaurant8;-1.4524
User9619;Restaurant90;0.4856
User67625;Restaurant48;0.0006
User27976;Restaurant57;0.6650
User10527;Restaurant17;0.4719
User26355;Restaurant2;-0.6841
User12571;Restaurant18;-0.2707
User30307;Restaurant61;2.3343
User17802;Restaurant71;1.3991
User18767;Restaurant12;1.3147
User36277;Restaurant69;4.5755
User34746;Restaurant41;1.8734
User6985;Restaurant20;-2.7231
User14851;Restaurant15;-4.4774
User32797;Restaurant42;2.8040
User37056;Restaurant28;1.4782
User6350;Restaurant10;0.5759
User20166;Restaurant32;5.8850
User70499;Restaurant5;-6.1983
User55150;Restaurant21;2.3641
User47916;Restaurant96;2.2391
User15614;Restaurant74;-3.1838
User3131;Restaurant87;2.3010
User4789;Restaurant35;1.9795
User12014;Restaurant65;2.4298
User1897;Restaurant89;0.7533
User38786;Restaurant8;0.1259
User17562;Restaurant100;0.7028
User2809;Restaurant11;2.8507
User58641;Restaurant13;5.2677
User34659;Restaurant55;-1.5226
User4463;Restaurant31;6.1867
User6721;Restaurant18;0.9844
User2291;Restaurant5;2.6920
User34073;Restaurant94;-1.2289
User53147;Restaurant20;-2.2097
User40051;Restaurant36;2.9012
User25922;Restaurant40;7.5961
User45831;Restaurant29;1.9745
User16328;Restaurant16;-7.2243
User13574;Restaurant50;2.5371
User22001;Restaurant10;4.9167
User4377;Restaurant28;-4.6991
User20773;Restaurant66;6.4902
User28853;Restaurant11;0.7147
User46641;Restaurant45;-2.4092
User32742;Restaurant13;-3.1595
User48216;Restaurant21;6.8574
User41515;Restaurant38;-0.0116
User10058;Restaurant15;-2.7186
User5544;Restaurant19;-1.8636
User29142;Restaurant22;-2.0150
User56917;Restaurant36;2.7240
User2192;Restaurant93;1.6557
User40716;Restaurant39;-1.3710
User18816;Restaurant27;3.5293
User38578;Restaurant32;0.6994
User44918;Restaurant6;6.0809
User32873;Restaurant10;1.4747
User14956;Restaurant28;-2.4826
User47535;Restaurant3;-2.1477
User8879;Restaurant45;-0.2441
User66328;Restaurant68;4.2101
User31734;Restaurant37;-5.2480
User17919;Restaurant40;1.2213
User45124;Restaurant7;1.8028
User21894;Restaurant81;1.9261
User35797;Restaurant85;-0.0277
User34819;Restaurant32;2.7629
User12701;Restaurant13;-2.0551
User43603;Restaurant72;-2.3534
User14890;Restaurant90;0.6462
User45918;Restaurant18;-2.2935
User35854;Restaurant6;-1.7868
User22264;Restaurant69;-1.0178
User59775;Restaurant49;2.9850
User23467;Restaurant67;-1.4315
User12622;Restaurant16;-1.0845
User16809;Restaurant23;-8.7208
User32792;Restaurant91;2.8166
User13250;Restaurant55;5.4831
User22592;Restaurant4;3.4221
User70453;Restaurant8;-3.2184
User46452;Restaurant97;0.4808
User21558;Restaurant16;-7.6114
User69678;Restaurant16;-5.0715
User36837;Restaurant21;9.2222
User26173;Restaurant12;-0.2572
User18135;Restaurant11;-0.0409
User27331;Restaurant33;-5.2293
User34298;Restaurant47;0.2143
User47048;Restaurant70;1.6381
User43439;Restaurant16;-1.4922
User25396;Restaurant36;1.8753
User31687;Restaurant20;-3.8653
User53947;Restaurant19;-2.1025
User33351;Restaurant37;-0.8859
User29164;Restaurant22;-3.0302
User62201;Restaurant13;-1.6094
User34461;Restaurant56;-5.0809
User72646;Restaurant91;1.5754
User14710;Restaurant9;-4.6902
User47281;Restaurant48;2.5797
User24901;Restaurant8;-6.7321
User69778;Restaurant8;-0.2416
User14046;Restaurant70;3.7987
User44771;Restaurant79;-0.7825
User67170;Restaurant18;0.5384
User38055;Restaurant55;-1.0803
User28634;Restaurant72;-0.6560
User59343;Restaurant84;0.2340
User580;Restaurant36;0.0982
User31316;Restaurant49;1.4361
User69743;Restaurant62;0.0280
User9431;Restaurant34;2.0960
User18018;Restaurant54;2.8206
User59604;Restaurant8;0.1841
User8986;Restaurant60;-3.3690
User16399;Restaurant32;1.8467
User26506;Restaurant65;3.1162
User28972;Restaurant56;4.6103
User42166;Restaurant94;-1.9444
User18571;Restaurant95;-0.0274
User4120;Restaurant11;5.2951
User7272;Restaurant27;5.9784
User25441;Restaurant11;4.8726
User12333;Restaurant19;1.6901
User15798;Restaurant23;-3.2908
User67371;Restaurant5;2.1156
User45909;Restaurant54;4.6620
User38495;Restaurant61;-0.1953
User13721;Restaurant56;3.1136
User38302;Restaurant37;-1.8720
User59650;Restaurant53;1.1575
User42718;Restaurant80;1.0364
User57401;Restaurant62;5.4402
User38029;Restaurant19;-0.1111
User43138;Restaurant26;2.5283
User3561;Restaurant12;7.5676
User42071;Restaurant87;1.6711
User15805;Restaurant54;3.6787
User29801;Restaurant9;-0.9959
User62931;Restaurant20;-5.4124
User68964;Restaurant7;-0.5144
User61209;Restaurant66;-2.2585
User36841;Restaurant5;4.1800
User47113;Restaurant63;-5.2543
User4040;Restaurant23;-1.1460
User29541;Restaurant15;-0.6660
User42759;Restaurant45;4.2844
User63980;Restaurant88;3.8892
User47139;Restaurant31;4.5859
User70757;Restaurant27;1.9776
User17429;Restaurant54;-0.2939
User31959;Restaurant56;-3.4455
User43295;Restaurant88;-1.5023
User9551;Restaurant65;0.5629
User23595;Restaurant13;-4.8803
User32879;Restaurant5;-4.3326
User8818;Restaurant38;0.0236
User20922;Restaurant39;-0.3962
User53805;Restaurant48;3.0686
User33928;Restaurant5;-3.4632
User21849;Restaurant49;5.4363
User36288;Restaurant1;3.3023
User1045;Restaurant13;0.6560
User41740;Restaurant31;4.8076
User10012;Restaurant4;0.6348
User67711;Restaurant84;-1.9384
User57090;Restaurant79;-1.8197
User3166;Restaurant26;6.1116
User21923;Restaurant54;0.9248
User22643;Restaurant28;6.2530
User37855;Restaurant46;-1.9662
User21224;Restaurant46;0.9032
User39495;Restaurant15;-2.0831
User67846;Restaurant62;3.0536
User23301;Restaurant99;0.2001
User32705;Restaurant19;0.2671
User37274;Restaurant88;1.9477
User38974;Restaurant64;-0.5379
User21276;Restaurant29;-0.0954
User29143;Restaurant84;-1.8686
User17074;Restaurant9;5.9495
